mdse_item_i, co_loc_i, p_sls_d, customer_paid_price, own_retl_a, sls_retl_a, base_price
5505987,3,5/17/18,1.07,1.12,1.12,1.12
5505987,3,5/21/18,1.06,1.12,1.12,1.12
5505987,3,5/24/18,1.06,1.12,1.12,1.12
5505987,3,5/30/18,1.06,1.12,1.12,1.12
5505987,3,6/5/18,1.12,1.12,1.12,1.12
5505987,3,6/9/18,1.12,1.12,1.12,1.12
5505987,3,6/11/18,1.12,1.12,1.12,1.12
5505987,3,6/11/18,1.08,1.12,1.12,1.12
5505987,3,6/12/18,1.12,1.12,1.12,1.12
5505987,4,5/10/18,1.12,1.12,1.12,1.12
5505987,4,5/10/18,1.12,1.12,1.12,1.12
5505987,4,5/10/18,1.12,1.12,1.12,1.12
5505987,4,5/10/18,1.12,1.12,1.12,1.12
5505987,4,5/10/18,1.12,1.12,1.12,1.12
5505987,4,5/10/18,1.06,1.12,1.12,1.12
5505987,4,5/10/18,1.12,1.12,1.12,1.12
5505987,4,5/10/18,1.06,1.12,1.12,1.12
5505987,4,5/11/18,1.12,1.12,1.12,1.12
5505987,4,5/14/18,1.12,1.12,1.12,1.12
5505987,4,5/14/18,1.12,1.12,1.12,1.12
5505987,4,5/15/18,1.06,1.12,1.12,1.12
5505987,4,5/17/18,1.12,1.12,1.12,1.12
5505987,4,5/17/18,1.12,1.12,1.12,1.12
5505987,4,5/19/18,1.06,1.12,1.12,1.12
5505987,4,5/22/18,1.06,1.12,1.12,1.12
5505987,4,5/23/18,1.06,1.12,1.12,1.12
5505987,4,5/24/18,1.06,1.12,1.12,1.12
5505987,4,5/24/18,1.12,1.12,1.12,1.12
5505987,4,5/25/18,1.12,1.12,1.12,1.12
5505987,4,5/26/18,1.04,1.12,1.12,1.12
5505987,4,5/26/18,1.04,1.12,1.12,1.12
5505987,4,5/28/18,1.12,1.12,1.12,1.12
5505987,4,5/28/18,1.12,1.12,1.12,1.12
5505987,4,5/28/18,1.06,1.12,1.12,1.12
5505987,4,5/28/18,1.06,1.12,1.12,1.12
5505987,4,5/29/18,1.12,1.12,1.12,1.12
5505987,4,6/4/18,1.06,1.12,1.12,1.12
5505987,4,6/6/18,1.12,1.12,1.12,1.12
5505987,4,6/6/18,1.12,1.12,1.12,1.12
